,ad_id,count,id,title,created_at,image,campaign_id,campaign_title,advertiser_id,advertiser_name,viewed,clicked
4552,289584,990,289584,آموزش صفر تا صد رزومه نویسی برای اپلای | اسکورایز,2021-04-27 17:49:34.373224+04:30,https://native.yektanet.com/static/media/upload/items/image__1caPgkvfN2.png,105578,کمپین گرفتن Impression,10378,scorize.com,2438686,1034
4551,278696,990,278696,"با خودروی خودت,درآمد کسب کن!",2021-04-07 10:18:23.444185+04:30,https://native.yektanet.com/static/media/upload/items/image__1c5QgXehNw.png,101375,موبایل راننده 2021,20986,registration.taximaxim.ir,2933148,1020
4550,284053,990,284053,جشنواره رمضان: «400گیگ اینترنت پرسرعت» فقط 240هزارتومان!!,2021-04-17 15:56:54.382827+04:30,https://native.yektanet.com/static/media/upload/items/image__1c8lTZ5UVc.jpeg,103731,4800-ورزش 3-دسکتاپ,7188,mahannet.ir,3539683,999
4553,210310,989,210310,قهوه دوست داری؟؟؟ ما بهتریناش رو داریم,2020-11-23 16:46:29.637929+03:30,https://native.yektanet.com/static/media/upload/items/image__1byNsZag9S.jpeg,74927,BFirst testMO,13171,coffeestore.ir,3184756,1220
4554,261784,988,261784,خرید آپارتمان بسیار شیک در محله تهرانپارس,2021-03-01 12:29:07.420117+03:30,https://native.yektanet.com/static/media/upload/items/image__1bWNtmJckW.jpeg,95556,Buy Tehranpars Native Campaign,1111,kilid.com,170347,988
4555,302303,988,302303,خرید کاپ قاعدگی بدون حساسیت,2021-05-18 09:38:02.862304+04:30,https://native.yektanet.com/static/media/upload/items/image__1cfTuPgPvg.jpeg,85070,Native_Mobile_Android,4425,rojashop.com,733152,1018
4556,283803,988,283803,گوشی موبایل شیائومی مدل Redmi 9T دو سیم کارت ظرفیت 64 گیگابایت,2021-04-17 11:23:59.065163+04:30,https://native.yektanet.com/static/media/upload/items/image__1c8j4RjxbU.jpeg,103628,redmi 9t/64,26476,lipak.com,1087427,1007
4557,282473,987,282473,با پر کردن این فرم کارمند شرکت تپسی شوید,2021-04-14 14:40:28.397315+04:30,https://native.yektanet.com/static/media/upload/items/image__1c5a9vHPCu.jpeg,103158,native_sport,24236,tapsi.ir,3333407,1009
4558,282677,986,282677,بومرنگو تماشای آنلاین کارتون و انیمیشن,2021-04-14 21:17:46.483949+04:30,https://native.yektanet.com/static/media/upload/items/image__1c8aqF3tpW.png,103234,مثال: بنر همسانی,34470,boomrango,1236227,1031
4559,290312,986,290312,هایپرمارکت سراری سالمین | ارسال رایگان به سراسر کشور,2021-04-28 21:33:28.754809+04:30,https://native.yektanet.com/static/media/upload/items/image__1cb6Q4DljE.jpeg,106436,همسان معمولی,21777,salemeen.com,3405175,1022
4562,270061,985,270061,سفارش شرف‌شمس 1400 در شرف‌آنلاین شروع شد,2021-03-12 22:04:15.690691+03:30,https://native.yektanet.com/static/media/upload/items/image__1bZ6vMudie.jpeg,98402,native-retargeting-sharaf2,1874,sharafonline.ir,5571033,10791
4561,292268,985,292268,شرکت صنایع پمپ آبارا(پمپ خانگی-صنعتی-تاسیساتی-مستغرق و.....),2021-05-02 16:13:06.297683+04:30,https://native.yektanet.com/static/media/upload/items/image__1cdrqsZ3GA.jpeg,107101,پمپ آبارا,36164,abara-co.com,3628101,1008
4560,233549,985,233549,چطور پول پارو کنیم آن هم در ایران؟,2021-01-12 11:22:23.999682+03:30,https://native.yektanet.com/static/media/upload/items/swiss-money-pool-goes-on-sale-1386179676-3112__1b62dyZ7J2.jpg,84752,Test-CPA-AutoBidManager-1,13489,aradbranding.com,10652232,11959
4563,274047,984,274047,فیلم و سریال ببین و از بازار PS5 و گوشی عیدی بگیر!!,2021-03-22 21:12:25.969434+04:30,https://native.yektanet.com/static/media/upload/items/image__1c21MVYQBk.png,99902,Native-Noruz-Seg-Desktop,26441,cafebazaar.ir,3936263,1862
4564,289371,984,289371,جمع بندی کنکور انسانی در 7 هفته!(ثبت نام کن),2021-04-27 14:57:41.713312+04:30,https://native.yektanet.com/static/media/upload/items/image__1caNrLNlB4.png,106052,native-segment-nitro-ensani,18608,tamland.ir,2167233,984
4565,226056,983,226056,بخشیدن مهریه و هر آنچه باید در خصوص آن باید بدانید,2020-12-27 17:08:46.405210+03:30,https://native.yektanet.com/static/media/upload/items/8A7-D8AFD8A7D8AFD8B3D988-1_1boVGQzWDW.jpg,59827,همسان ریتارگت,9149,dadsoo.com,1999814,2996
4566,281629,983,281629,نقشه ساختمان اساس و مبنا می باشد، آن را به متخصصان خانه معمار بسپارید,2021-04-13 12:49:54.729733+04:30,https://native.yektanet.com/static/media/upload/items/image__1c7l8L1vSw.jpeg,102798,فروردین,34843,khaneh-memar.com,319828,983
4567,237656,983,237656,"همیار مکانیک کوشا
همیار سالمندان، معلولین و جانبازان",2021-01-20 10:49:59.233827+03:30,https://native.yektanet.com/static/media/upload/items/image__1ceYdC2722.jpeg,86318,کمپین ریتارگتینگ بهمن,21457,iranhmk.com,441487,1295
